date,open,high,low,close
"Jul 25, 2017 23:00",111.873,112.028,111.857,112.006
"Jul 25, 2017 22:00",111.868,111.907,111.863,111.875
"Jul 25, 2017 21:00",111.882,111.92,111.836,111.871
"Jul 25, 2017 20:00",111.893,111.957,111.851,111.881
"Jul 25, 2017 19:00",111.885,111.942,111.824,111.893
"Jul 25, 2017 18:00",111.604,111.908,111.583,111.887
"Jul 25, 2017 17:00",111.635,111.649,111.565,111.604
"Jul 25, 2017 16:00",111.578,111.686,111.564,111.632
"Jul 25, 2017 15:00",111.617,111.686,111.536,111.575
"Jul 25, 2017 14:00",111.449,111.635,111.428,111.62
"Jul 25, 2017 13:00",111.541,111.563,111.371,111.448
"Jul 25, 2017 12:00",111.454,111.572,111.305,111.537
"Jul 25, 2017 11:00",111.368,111.528,111.36,111.456
"Jul 25, 2017 10:00",111.446,111.466,111.36,111.369
"Jul 25, 2017 09:00",111.258,111.443,111.238,111.443
"Jul 25, 2017 08:00",111.204,111.332,111.186,111.26
"Jul 25, 2017 07:00",110.908,111.249,110.899,111.204
"Jul 25, 2017 06:00",111.017,111.021,110.828,110.905
"Jul 25, 2017 05:00",110.988,111.106,110.983,111.016
"Jul 25, 2017 04:00",111.06,111.064,110.943,110.988
"Jul 25, 2017 03:00",111.072,111.091,111.049,111.065
"Jul 25, 2017 02:00",111.212,111.256,111.019,111.068
"Jul 25, 2017 01:00",111.283,111.331,111.202,111.217
"Jul 25, 2017 00:00",111.241,111.345,111.211,111.284
"Jul 24, 2017 23:00",111.2,111.278,111.159,111.239
"Jul 24, 2017 22:00",111.178,111.214,111.138,111.201
"Jul 24, 2017 21:00",111.084,111.191,111.071,111.173
"Jul 24, 2017 20:00",111.107,111.135,111.085,111.098
"Jul 24, 2017 19:00",111.102,111.134,111.074,111.109
"Jul 24, 2017 18:00",111.166,111.184,111.097,111.101
"Jul 24, 2017 17:00",111.203,111.268,111.16,111.165
"Jul 24, 2017 16:00",111.095,111.321,111.095,111.207
"Jul 24, 2017 15:00",111.091,111.128,110.974,111.091
"Jul 24, 2017 14:00",110.947,111.103,110.853,111.092
"Jul 24, 2017 13:00",110.82,111.028,110.795,110.945
"Jul 24, 2017 12:00",110.835,110.888,110.772,110.821
"Jul 24, 2017 11:00",110.722,110.839,110.72,110.837
"Jul 24, 2017 10:00",110.705,110.74,110.647,110.717
"Jul 24, 2017 09:00",110.712,110.77,110.623,110.708
"Jul 24, 2017 08:00",110.825,110.912,110.705,110.713
"Jul 24, 2017 07:00",111.067,111.094,110.717,110.823
"Jul 24, 2017 06:00",111.095,111.18,111.025,111.07
"Jul 24, 2017 05:00",111.031,111.138,110.993,111.087
